agendaItem,date,development,Issue,section,zone,address,result,berniceRadle,thomasDearing,janiceMckinnie,jamesLewis,anthonyDiina,details,meetingId,agendaLink
3631,4/19/2017 2:00p,Expand existing building,Add Elevator & Stair Tower Not Meeting Required Setbacks,496-3.2.5.C,N-2C,145 Broadway,approve,a,a,a,a,a,,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3631&CssClass=
3636,4/19/2017 2:00p,Construct garage,Garage Not Permitted Forwards Of A Principal Buidling,496-6.2.1.D.3,N-2R,355 Linwood Avenue,deny,a,n,a,a,a,"Denied because the owner didn't meet the financial hardship criteria as well as it does not meet the character of the neighborhood; there are other alternatives that could be used that would meet their codes which the applicant did not care to
seek.",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3636&CssClass=
3671,4/19/2017 2:00p,Establish a Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,385 Vermont,deny,a,a,a,a,a,Denied based on the negative impact on the residential character of the neighborhood by way of eliminating front/lawn green space and the presence of alternatives of on street parking.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3671&CssClass=
3676,4/19/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,115 Plymouth Avenue,conditions,a,n,a,a,a,Conditions: Applicant must move the parking pad over two feet to the left (facing the house) to ensure the easement can be met.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3676&CssClass=
3677,4/19/2017 2:00p,Add Units to Existing Multi-Unit Dwelling,Exceeding Residential Density,496-3.2.1.E,N-2R,49 Cottage Street,approve,a,a,a,a,a,,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3677&CssClass=
3678,4/19/2017 2:00p,Divide Two Existing Lots,Deficient In Area,496-3.2.6.C,N-3R,105 Urban Street,withdrawn,,,,,,"Variance wavied by the Permits & Inspetions Department - therefore ""No Action Needed"" from this board.",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3678&CssClass=
3679,4/19/2017 2:00p,Establish Food Vending Use,Use Not Allowed In Zone,496-6.1.1,N-2R,36 Massachusetts Avenue,deny,a,a,a,a,a,Denied because this is a residential neighborhood and the applicant is requesting a use variance which is not allowed in this zone.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3679&CssClass=
3680,4/19/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,470 West Delavan Avenue,conditions,a,a,a,a,a,Conditions: Parking pad be of a permeable type construction material. Replacement with two trees for the one that is being removed.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3680&CssClass=
3681,4/19/2017 2:00p,Establish Multi Unit Dwelling and Office Use,Establish Commercial Use Not Allowed In Zone,496-6A,N-2R,730 West Avenue,deny,a,a,a,a,a,"The board denied the ""Commercial Use"" for the gym - because it is a residential neighborhood and doesn't fit the character of the neighborhood; no hardship proved by the applicant.",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3681&CssClass=
3681,4/19/2017 2:00p,Establish Multi Unit Dwelling and Office Use,Exceeding Allowed Residential Density,496-3.2.1.E,N-2R,730 West Avenue,approve,a,a,a,a,a,"The board approved the variance for ""Exceeding the Allowed Residential Density"".",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3681&CssClass=
3682,4/19/2017 2:00p,Establish Rooming House Use,Use Not Permitted In Zone,496-6.1.1,N-4-30,143 Wellington Road,deny,a,a,a,a,a,Denied due to the inconsistency of the proposed use with the single family nature of the surrounding neighborhood.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3682&CssClass=
3683,4/19/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,138 Colvin Avenue,approve,a,a,a,a,a,Parking pad approved given the existing parking situation on Colvin Avenue and the unique alternative street parking situation and the volume of traffic on Colvin Avenue.,1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3683&CssClass=
17-412,4/19/2017 2:00p,Use Not Permitted,Establish Contractor's Storage Yard With Two Storage Containers,511-12,R-2,313 Rhode Island,deny,a,a,a,a,a,"Project was ""Denied without Prejudice"" as it was the second time applicant failed to appear before the board",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3358&CssClass=
17-716,4/19/2017 2:00p,Construct 4 multi-unit dwellings and 32 single-unit attached dwellings,Deficient In Perimeter Buffer Yard,496-7.1.5,D-R Zone,129 Holden Aveneue,approve,a,a,a,a,a,"Board ""Approved"" the Deficient in Perimeter Buffer Yard Variance",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3668&CssClass=
17-716,4/19/2017 2:00p,Construct 4 multi-unit dwellings and 32 single-unit attached dwellings,Exceeding Maximum Driveway Width,496-8.3.2,D-R Zone,129 Holden Aveneue,approve,a,a,a,a,a,"Board ""Approved"" the Deficient in Perimeter Buffer Yard Variance",1205,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1205&MediaPosition=&ID=3668&CssClass=
3884,5/17/2017 2:00p,Establish Vehicle Sales Lot,Vehicle Sales Must Be Located Within A Fully Enclosed Building,496-6.1.5.Z,N-2E,324 Elmwood Avenue,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3884&CssClass=
3885,5/17/2017 2:00p,Construct Addition to Auto Repair Garage,Deficient In Rear Yard,496-4.4.4,D-S,1657 Broadway,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3885&CssClass=
3886,5/17/2017 2:00p,Construct an Addition to a Single-Family Home,Deficient In Rear Yard,496-3.2.6.D,N-2R,16 Cleveburn Place,approve,a,a,a,a,a,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3886&CssClass=
3887,5/17/2017 2:00p,Construct an Addition Between Two Detached Houses to Create One Interconnected House,In Excess Of Permitted Front Setback,496-3.2.6.D,N-2R,298 Dewitt Street,approve,a,a,a,a,a,Resovled that the area variance as presented is hereby granted due to the unique existing condition caused by the existence of two rear cottages without an adjoining front house.,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3887&CssClass=
3888,5/17/2017 2:00p,Addition of Dwelling Unit,In Excess Of Permitted Residential Density,496-3.2.1.E,N-3R,122 Gibson Street,tabled,,,,,,,1206,a
3889,5/17/2017 2:00p,Deficient in Setback from Front Facade,Install Roof Deck On Garage,496-6.2.2.AH,N-2R,65 Louisiana Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3889&CssClass=
3890,5/17/2017 2:00p,Install a Fence,Not Permitted To Encroach Upon Public Right-Of-Way,496-7.2.1.C,N-2R,74 Colonial Circle,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3890&CssClass=
3891,5/17/2017 2:00p,Establish a Contractor Storage Facility,Use Not Permitted In Zone,496-6.1.1,N-3R,80 Milton Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3891&CssClass=
3892,5/17/2017 2:00p,Construct an Accessory Parking Lot,Use Not Permitted In Zone,496-6.1.1,N-3R,135 Herman Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3892&CssClass=
3893,5/17/2017 2:00p,Establish a Contractor Storage Yard,Use Not Permitted In Zone,496-6.1.1,N-3R,109 Mayer Avenue,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3893&CssClass=
3894,5/17/2017 2:00p,Establish Two Storage Containers in Rear Yard,Storage Containers Not Permitted As Permanent Uses,496-6.3.2.E,D-S,2695 Bailey Avenue,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3894&CssClass=
3895,5/17/2017 2:00p,Construct Driveway,In Excess Of Permitted Driveway Width,496-8.3.2.B,N-3R,56 Rugby Road,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3895&CssClass=
3896,5/17/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,138 Tennessee Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3896&CssClass=
3897,5/17/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,16 Trowbridge Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3897&CssClass=
3898,5/17/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,80 Troupe Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3898&CssClass=
3899,5/17/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,77 Trowbridge Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3899&CssClass=
3900,5/17/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,16 Lockwood Avenue,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3900&CssClass=
3901,5/17/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,104 West Woodside Avenue,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3901&CssClass=
17-1349,5/17/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",In excess of permitted front yard,496-3.2.11.D,N-1C,2929 Main Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,5/17/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required interior side yard,496-3.2.11.D,N-1C,2929 Main Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,5/17/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required tree conservation,496-7.1.3,N-1C,2929 Main Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,5/17/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required interior parking lot landscape,496-7.1.5.C,N-1C,2929 Main Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,5/17/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",In excess of permitted driveway width,496-8.3.2,N-1C,2929 Main Street,tabled,,,,,,,1206,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
3884,6/21/2017 2:00p,Establish Vehicle Sales Lot,Vehicle Sales Must Be Located Within A Fully Enclosed Building,496-6.1.5.Z,N-2E,324 Elmwood Avenue,conditions,a,absent,a,a,a,CONDITIONS: *Provide Type D Buffer or masonry wall along front lot line per Section 496- 7.1.5.B.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3884&CssClass=
3885,6/21/2017 2:00p,Construct Addition to Auto Repair Garage,Deficient In Rear Yard,496-4.4.4,D-S,1657 Broadway,approve,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3885&CssClass=
3888,6/21/2017 2:00p,Addition of Dwelling Unit,In Excess Of Permitted Residential Density,496-3.2.1.E,N-3R,122 Gibson Street,deny,a,absent,a,a,a,"Variance was ""Denied without Prejudice"" - No public hearing due to noncompliance with posted notice (second time).",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3888&CssClass=
3889,6/21/2017 2:00p,Deficient in Setback from Front Facade,Install Roof Deck On Garage,496-6.2.2.AH,N-2R,65 Louisiana Street,deny,a,absent,a,a,a,"Variance was ""Denied without Prejucdice"" - No public hearing due to noncompliance with posted notice (second time).",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3889&CssClass=
3890,6/21/2017 2:00p,Install a Fence,Not Permitted To Encroach Upon Public Right-Of-Way,496-7.2.1.C,N-2R,74 Colonial Circle,withdrawn,a,absent,a,a,a,Withdrawn by the applicant,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3890&CssClass=
3891,6/21/2017 2:00p,Establish a Contractor Storage Facility,Use Not Permitted In Zone,496-6.1.1,N-3R,80 Milton Street,tabled,a,absent,a,a,a,Applicant must provide financial hardship documentation,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3891&CssClass=
3892,6/21/2017 2:00p,Construct an Accessory Parking Lot,Use Not Permitted In Zone,496-6.1.1,N-3R,135 Herman Street,deny,a,absent,a,a,a,"Variance was ""Denied without Prejudice"" - No public hearing due to noncompliance with posted notice (second time).",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3892&CssClass=
3893,6/21/2017 2:00p,Establish a Contractor Storage Yard,Use Not Permitted In Zone,496-6.1.1,N-3R,109 Mayer Avenue,tabled,a,absent,a,a,a,Applicant must provide financial hardship documentation.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3894&CssClass=
3894,6/21/2017 2:00p,Establish Two Storage Containers in Rear Yard,Storage Containers Not Permitted As Permanent Uses,496-6.3.2.E,D-S,2695 Bailey Avenue,tabled,a,absent,a,a,a,Applciant will meet with the Council Member,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3894&CssClass=
3895,6/21/2017 2:00p,Construct Driveway,In Excess Of Permitted Driveway Width,496-8.3.2.B,N-3R,56 Rugby Road,approve,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3895&CssClass=
3896,6/21/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,138 Tennessee Street,deny,a,absent,a,a,a,Reason: Reduction in green space; creates a potentially dangerous traffic situation.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3896&CssClass=
3897,6/21/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,16 Trowbridge Street,deny,a,absent,a,a,a,Reason: Reduction in green space; creates a potentially dangerous traffic situation.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3897&CssClass=
3898,6/21/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,80 Troupe Street,deny,a,absent,a,a,a,Reason: Reduction in green space; creates a potentially dangerous traffic situation.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3898&CssClass=
3899,6/21/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,77 Trowbridge Street,deny,a,absent,a,a,a,Reason: Reduction in green space; creates a potentially dangerous traffic situation; there is adequate parking on site.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3899&CssClass=
3900,6/21/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,16 Lockwood Avenue,deny,a,absent,a,a,a,Reason: Reduction in green space; creates a potentially dangerous traffic situation; there is adequate parking on site.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3900&CssClass=
3901,6/21/2017 2:00p,Establish Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-3R,104 West Woodside Avenue,deny,a,absent,a,a,a,"Reason: Reduction in green space, creates a potentially dangerous traffic situation; there is adequate parking on site.",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=3901&CssClass=
4171,6/21/2017 2:00p,Establish Gas Station Use,Use Not Allowed In Zone,496-6.1.1,N-3E,1002 Abbott Road,approve,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4171&CssClass=
4173,6/21/2017 2:00p,Install a Sign,In Excess Of Permitted Area,496-9.2.1.C,N-3C,1678 Hertel Avenue,conditions,a,absent,a,a,a,CONDITIONS: *Restricted to one sign @45 sq. ft with the Apple Logo placed on the Hertel side of the building.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4173&CssClass=
4174,6/21/2017 2:00p,Install a Fence,In Excess Of Permitted Height,496-7.2.2.B,N-4-50,175 Nottingham Road,approve,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4174&CssClass=
4175,6/21/2017 2:00p,Establish a Parking Pad,Not Permitted In Front Yard,496-8.3.3.A.2,N-3R,42 Rugby Road,approve,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4175&CssClass=
4177,6/21/2017 2:00p,Construct a Single-Family Home,Garage Deficient In Required Setback,496-3.2.1.E,N-3R,2317 Niagara Street,approve,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4177&CssClass=
4178,6/21/2017 2:00p,Establish a Self-Storage Use,Use Not Permitted In Zone,496-6.1.1,D-IH,700 Military Road,tabled,a,absent,a,a,a,Applicant must provide proof of financial hardship.,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4178&CssClass=
4180,6/21/2017 2:00p,Construct an Accessory Parking Lot and Install Fence,Parking Not Allowed In Side Yard,496-3.3.A,N-2E,437 Rhode Island,approve,a,absent,a,a,a,"Approved variance for ""Parking not allowed in side yard and fence""",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4180&CssClass=
4180,6/21/2017 2:00p,Construct an Accessory Parking Lot and Install Fence,Fence In Excess Of Permitted Height,496-7.2.2.B,N-2E,437 Rhode Island,approve,a,absent,a,a,a,"Approved variance for ""In Excess of permitted height"".",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4180&CssClass=
4181,6/21/2017 2:00p,Construct a 66 Space Parking Lot,In Excess Of Permitted Fence Height,496-7.2.2.B,N-3E,806 Kenmore Avenue,approve,a,absent,a,a,a,"Approved variance for ""In Excess of permitted fence height"".",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4181&CssClass=
4181,6/21/2017 2:00p,Construct a 66 Space Parking Lot,Insufficient In Parking Lot Perimeter Landscape,496-7.1.5.B,N-3E,806 Kenmore Avenue,approve,n,absent,a,a,a,"Approved variance for ""Insufficient in parking lot perimeter landscape.",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4181&CssClass=
4181,6/21/2017 2:00p,Construct a 66 Space Parking Lot,Insufficient In Interior Landscape,496-7.1.5.C,N-3E,806 Kenmore Avenue,conditions,a,absent,a,a,a,"Aprroved with Condtions the variance for ""Interior Landscape. Conditions: *Applicant must increase Interior Landscaping to 8%.",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4181&CssClass=
17-1039,6/21/2017 2:00p,Construct an Addition to Connect Two Existing Buildings,Not In Compliance With Front Yard,496-3.2.9.C,N-3E,2515 Delaware Avenue,approve,a,absent,a,a,a,"Approved variance for ""Not in compliance with front yard"".",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4176&CssClass=
17-1039,6/21/2017 2:00p,Construct an Addition to Connect Two Existing Buildings,Not In Compliance With Build-To Percentage,496-3.2.9.C,N-3E,2515 Delaware Avenue,approve,a,absent,a,a,a,"Approved the variance for ""Build to Percentage""",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4176&CssClass=
17-1039,6/21/2017 2:00p,Construct an Addition to Connect Two Existing Buildings,Not In Compliance With Rear Yard Requirements,496-3.2.9.C,N-3E,2515 Delaware Avenue,approve,a,absent,a,a,a,"Approved variance for ""Rear Yard Requirements""",1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=4176&CssClass=
17-1349,6/21/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required interior side yard,496-3.2.11.D,N-1C,2929 Main Street,tabled,a,absent,a,a,a,Applicant requested to be tabled,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,6/21/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",In excess of permitted front yard,496-3.2.11.D,N-1C,2929 Main Street,tabled,a,absent,a,a,a,Applicant requested to be tabled,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,6/21/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required tree conservation,496-7.1.3,N-1C,2929 Main Street,tabled,a,absent,a,a,a,Applicant requested to be tabled,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,6/21/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required interior parking lot landscape,496-7.1.5.C,N-1C,2929 Main Street,tabled,a,absent,a,a,a,Applicant requested to be tabled,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
