agendaItem,date,development,Issue,section,zone,address,result,berniceRadle,thomasDearing,janiceMckinnie,jamesLewis,anthonyDiina,details,meetingId,agendaLink
17-1349,6/21/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",In excess of permitted driveway width,496-8.3.2,N-1C,2929 Main Street,tabled,a,absent,a,a,a,Applicant requested to be tabled,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-956,6/21/2017 2:00p,Construct a four-story mixed-use building,"in excess of permitted building width,",496-3.2.5.E(A),N-2C/N-2R,1111 Elmwood Avenue,tabled,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,6/21/2017 2:00p,Construct a four-story mixed-use building,"in excess of permitted height,",496-3.2.1.C(5),N-2C/N-2R,1111 Elmwood Avenue,tabled,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,6/21/2017 2:00p,Construct a four-story mixed-use building,"in excess of permitted finished ground floor level height,",496-3.2.5.E(C),N-2C/N-2R,1111 Elmwood Avenue,tabled,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,6/21/2017 2:00p,Construct a four-story mixed-use building,"insufficient ground story height, in excess of permitted window sill height",496-3.2.5.E(D),N-2C/N-2R,1111 Elmwood Avenue,tabled,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,6/21/2017 2:00p,Construct a four-story mixed-use building,in excess of permitted window sill height,496-3.2.5(B),N-2C/N-2R,1111 Elmwood Avenue,tabled,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,6/21/2017 2:00p,Construct a four-story mixed-use building,frontage element (stoop) not permitted,496-3.2.5F(F),N-2C/N-2R,1111 Elmwood Avenue,tabled,a,absent,a,a,a,,1207,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
3891,7/19/2017 2:00p,Establish a Contractor Storage Facility,Use Not Permitted In Zone,496-6.1.1,N-3R,80 Milton Street,deny,a,a,a,absent,a,Denial Reason: Applicant didnot provide proof of financial hardship.,1208,
3893,7/19/2017 2:00p,Establish a Contractor Storage Yard,Use Not Permitted In Zone,496-6.1.1,N-3R,109 Mayer Avenue,deny,a,a,a,absent,a,"""Denied without predjudce""",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
3894,7/19/2017 2:00p,Establish Two Storage Containers in Rear Yard,Storage Containers Not Permitted As Permanent Uses,496-6.3.2.E,D-S,2695 Bailey Avenue,tabled,a,a,a,absent,a,Applicant asked to provide proof of financial hardship.,1208,
4007,7/19/2017 2:00p,Dash's Market - Construction of a New Grocery Store,Exceed max lot width,496-325.C.B,N-3C,1764 Hertel Avenue,approve,a,a,a,a,a,"Approved variance for ""Exceeds max lot width"".",1208,
4012,7/19/2017 2:00p,Construct apartment building,Not in compliance with side yard and rear yard requirements,496-3.2.11.D,N-2R,297 West Utica,approve,a,a,a,a,a,"Approved variance ""Not in compliance with side yard and rear yard requirements"".",1208,
4012,7/19/2017 2:00p,Construct apartment building,excess of permitted residential density,496-3.2.11.D,N-2R,297 West Utica,approve,a,a,a,a,a,"Approved variance ""Excess of permitted residential density"".",1208,
4012,7/19/2017 2:00p,Construct apartment building,garage not setback from front facade of principal building,496-3.2.11.D,N-2R,297 West Utica,approve,a,a,a,a,a,"Approved variance ""Garage not setback from front facade of principal building"".",1208,
4172,7/19/2017 2:00p,Establish Live Entertainment,Use Not Allowed In Zone,496-6.1.1,N-4-30,271 Howard Street,tabled,a,a,a,absent,a,Applicant asked to provide proof of financial hardship,1208,
4178,7/19/2017 2:00p,Establish a Self-Storage Use,Use Not Permitted In Zone,496-6.1.1,D-IH,700 Military Road,approve,a,a,a,absent,a,,1208,
4179,7/19/2017 2:00p,Establish a 9-Unit Multiple Dwelling,In Excess Of Permitted Density,496-3.2.1.E,N-2R,83 Hodge Avenue,deny,a,a,a,absent,a,Denial Reason: Due to increased density and negative impact on the surrounding neighborhood; applicant also stated that she could accommodate downsizing from 9 units to 8 units.,1208,
4441,7/19/2017 2:00p,Construct an Accessory Parking Lot,Use Not Permitted In Zone,496-6.1.1,N-3R,135 Herman Street,tabled,a,a,a,a,a,Applicant asked to provide proof of financial hardship and a diagram of the parking lot.,1208,
4444,7/19/2017 2:00p,Enclose a Front Porch,Porch Must Be Open On All Sides Except The Exterior Wall Of The House,496-3.3.8,N-3R,352 Eden Street,deny,a,a,a,absent,a,Denial Reason: Due to the existence of open porches and front vestibules on the majority of the block; the inconsistency of enclosing the front porch with the character of the neighborhood and other porches in that area.,1208,
4445,7/19/2017 2:00p,Establish Self-Storage Use,Not Permitted On The First Floor,496-6.1.5.V,N-3C,754 Tonawanda Street,conditions,a,a,a,absent,a,CONDITIONS: *The request will have minimal impact to the character of the Tonawanda/Ontario Street mixed use neighborhood. *Approval only applies to the garage portion of the space not the first floor.,1208,
4446,7/19/2017 2:00p,Utilize Existing Electronic Messaging Center for Animated Messages,Electronic Messaging Centers Must Be Static For At Least Five Minutes Before Changing,496-9.1.5.B.4,N-1C,125 Washington Street,deny,a,a,a,absent,a,Denial Reason: Does not fit within the character of the neighborhood community; it is a substancial variance; video messaging is not allowed in the city in this zone.,1208,
4448,7/19/2017 2:00p,Construct an Attached Garage ,Exceeding Permitted Driveway Width,496-8.3.2,N-2R,119 Glenwood Avenue,tabled,a,n,a,a,a,,1208,
4448,7/19/2017 2:00p,Construct an Attached Garage ,Garage Insufficient In Setback From Front Facade,496-6.2.2.G,N-2R,119 Glenwood Avenue,tabled,a,n,a,a,a,,1208,
4448,7/19/2017 2:00p,Enclose a Front Porch,Porch Must Be Open On All Sides Except The Exterior Wall Of The House,496-3.3.8,N-2R,119 Glenwood Avenue,tabled,a,n,a,a,a,,,
4449,7/19/2017 2:00p,Install a Front Parking Pad,Not Permitted In Front Yard,496-8.3.3.A.2,N-3R,110 Villa Avenue,deny,a,a,a,a,a,Denial Reason: The presence of alternative parking spaces on the street and the lack of other parking pads on the block.,1208,
4450,7/19/2017 2:00p,Install Sign,Exceeding Maximum Sign Area,496-9.2.1C,N-2R,505 Seventh Street,approve,a,a,a,a,a,,1208,
4451,7/19/2017 2:00p,Install Fence,Exceeding Permitted Height,496-7.2.2.B,N-3R,79 Rother Avenue,tabled,a,a,a,absent,a,"Applicant must provide ""Posted Notice""",1208,
4452,7/19/2017 2:00p,Install 10 Yard Signs for Civic Use,Exceeding Number Of Signs Permitted,496-9.2.1.B,N-2R,141 Vermont Street,approve,a,a,a,a,a,"Approved variance "" Exceeding number of signs permitted"".",1208,
4452,7/19/2017 2:00p,Install 10 Yard Signs for Civic Use,Exceeding Total Sign Area Permitted,496-9.2.1.C,N-2R,141 Vermont Street,approve,a,a,a,a,a,"Approved variance "" Exceeding number of signs permitted"".",1208,
4453,7/19/2017 2:00p,Install Parking Pad,Not Permitted In Front Yard,496-8.3.3.A,N-2R,39 Lexington Avenue,tabled,a,a,a,absent,a,"Applicant must provide ""Posted Notice"".",1208,
4454,7/19/2017 2:00p,Construct Two Single-Family Dwellings,Driveway In Excess Of Permitted Width,496-3.2.6.D,N-2R,192 15Th Street,tabled,a,a,a,a,a,,1208,
4454,7/19/2017 2:00p,Construct Two Single-Family Dwellings,Insufficient In Build-To Percentage,496-3.2.6.D,N-2R,192 15Th Street,tabled,a,a,a,a,a,,1208,
4454,7/19/2017 2:00p,Construct Two Single-Family Dwellings,Insufficient Side Yard,496-3.3.8.1,N-2R,192 15Th Street,tabled,a,a,a,a,a,,1208,
4454,7/19/2017 2:00p,Construct Two Single-Family Dwellings,Insufficient Transparency Along Ground Floor Facade,496-8.3.2,N-2R,192 15Th Street,tabled,a,a,a,a,a,,1208,
4454,7/19/2017 2:00p,Construct Two Single-Family Dwellings,Insufficient Transparency Along Second Floor Facade,496-8.3.2,N-2R,192 15Th Street,tabled,a,a,a,a,a,,1208,
4454,7/19/2017 2:00p,Construct Two Single-Family Dwellings,Parking Not Permitted In Front Yard,496-8.3.3.A.2,N-2R,192 15Th Street,tabled,a,a,a,a,a,,1208,
4455,7/19/2017 2:00p,Construct Parking Lot,Not Permitted In Interior Side Yard,496-8.3.3.A,N-2R,227 14Th Street,deny,a,a,a,a,a,"Denied variance for ""Not permitted in interior side yard"". Denial Reason: The unsafe vehicle movements which would result in the existence of on street parking in an area which provides feasible alternatives to the proposed off street parking area.",1208,
4455,7/19/2017 2:00p,Construct Parking Lot,Must Be Designed So That The Driver Does Not Have To Back Out Into Traffic,496-8.3.1.D.2,N-2R,227 14Th Street,deny,a,a,a,a,a,"Denied variance for ""Must be designed so that the drive does not have to back out into traffic"". Denial Reason: The unsafe vehicle movements which would result in the existence of on street parking in an area which provides feasible alternatives to the proposed off street parking area.",1208,
4456,7/19/2017 2:00p,Install Electronic Messaging Center,Not Permitted In Zone,496-9.1.5.A,N-3E,2424 Delaware Avenue,approve,n,n,a,a,a,"Approved variance for ""Not permitted in zone"".",1208,
4456,7/19/2017 2:00p,Install Electronic Messaging Center,Must Be Static For At Least Five Minutes,496-9.1.5.B.4,N-3E,2424 Delaware Avenue,conditions,n,n,a,a,a,"Approved with Conditions the variance for ""Must be static for at least five minutes"". CONDITION: * Message cannot change more than twice per minute to be less invasive to the neighborhood.",1208,
4457,7/19/2017 2:00p,Construct an Art Gallery,Not In Compliance With Setback And Height Requirements,496-3.2.11.D.E,N-2R,527 West Ferry Street,approve,abstain,a,a,a,a,"Approved variance for ""Not in compliance with setback requirements"".",1208,
4457,7/19/2017 2:00p,Construct an Art Gallery,Use Not Permitted In Zone,496-6.1.1,N-2R,527 West Ferry Street,approve,abstain,a,a,a,a,"Approved variance for ""Use not permitted in zone"".",1208,
4458,7/19/2017 2:00p,Construct a One Story Addition to House,Insufficient In Interior Side Yard,496-3.2.6.D,N-3R,2475 Niagara Street,approve,a,a,a,a,a,,1208,
4459,7/19/2017 2:00p,Construct Two Town Houses,Deficient In Ground Floor,496-4.1.6,D-R,55 Ojibwa Circle,approve,a,a,a,a,a,"Approved variance for ""Deficient in ground floor"".",1208,
4459,7/19/2017 2:00p,Construct Two Town Houses,Deficient In Transparency,496-4.1.6,D-R,55 Ojibwa Circle,approve,a,a,a,a,a,"Approved variance for ""Transparency"".",1208,
4459,7/19/2017 2:00p,Construct Two Town Houses,Deficient In Garage Setback,496-6.2.2.G,D-R,55 Ojibwa Circle,approve,a,a,a,a,a,"Approve variance for ""Garage setback"".",1208,
17-1230,7/19/2017 2:00p,Construct a Four-Story Mixed Use Building,In Excess Of Permitted Lot Width,496-3.2.5.C,N-2C,1111 Elmwood Avenue ,approve,a,a,a,a,a,"Approved variance for ""Construct a four-story mixed use building in excess of permitted lot width"".",1208,
17-1230,7/19/2017 2:00p,Construct a Four-Story Mixed Use Building,No More Than Two Parcels May Be Combined For The Purposes Of New Construction,496-3.2.1.J,N-2C,1111 Elmwood Avenue ,approve,a,a,a,a,a,"Approved variance for ""No more than two parcels may be combined for the purposes of new construction"".",1208,
17-1349,7/19/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",Deficient in required interior side yard,496-3.2.11.D,N-1C,2929 Main Street,approve,a,a,a,absent,a,"Approved variance ""Deficient in required interior side yard""",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,7/19/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",In excess of permitted front yard,496-3.2.11.D,N-1C,2929 Main Street,approve,a,a,a,absent,a,"Approved variance ""In excess of permitted front yard""",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-1349,7/19/2017 2:00p,"Construct Mixed Use Project including 320 apartments, office and retail",In excess of permitted driveway width,496-8.3.2,N-1C,2929 Main Street,approve,a,a,a,absent,a,"Approved variance ""In excess of permitted driveway width"".",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1206&MediaPosition=&ID=3866&CssClass=
17-956,7/19/2017 2:00p,Construct a four-story mixed-use building,"in excess of permitted building width,",496-3.2.5.E(A),N-2C/N-2R,1111 Elmwood Avenue,approve,a,a,a,a,a,"Approved variance for ""In excess of permitted building width"".",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,7/19/2017 2:00p,Construct a four-story mixed-use building,"in excess of permitted height,",496-3.2.1.C(5),N-2C/N-2R,1111 Elmwood Avenue,approve,a,a,a,a,a,"Approved variance for ""In excess of permitted height""",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,7/19/2017 2:00p,Construct a four-story mixed-use building,"in excess of permitted finished ground floor level height,",496-3.2.5.E(C),N-2C/N-2R,1111 Elmwood Avenue,approve,n,n,a,a,a,"Approve variance for ""In excess of permitted finished ground floor level height"".",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,7/19/2017 2:00p,Construct a four-story mixed-use building,"insufficient ground story height, in excess of permitted window sill height",496-3.2.5.E(D),N-2C/N-2R,1111 Elmwood Avenue,approve,n,n,a,a,a,"Approve variance for ""Insufficient ground story height"".",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,7/19/2017 2:00p,Construct a four-story mixed-use building,in excess of permitted window sill height,496-3.2.5(B),N-2C/N-2R,1111 Elmwood Avenue,approve,n,n,a,a,a,"Approve variance for ""In excess of permitted window sill height""",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
17-956,7/19/2017 2:00p,Construct a four-story mixed-use building,frontage element (stoop) not permitted,496-3.2.5.F(F),N-2C/N-2R,1111 Elmwood Avenue,approve,n,n,a,a,a,"Approve variance for Frontage element (stoop) not permitted"".",1208,http://buffalony.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1207&MediaPosition=&ID=2419&CssClass=
4007,,Dash's Market - Construction of a New Grocery Store,Exceed max side yard width,496-325.D.E,N-3C,1764 Hertel Avenue,approve,a,a,a,a,a,"Approved variance for ""Exceeds max side yard width"".",,
4007,,Dash's Market - Construction of a New Grocery Store,Deficient in rear yard,496-325.D.F,N-3C,1764 Hertel Avenue,approve,a,a,a,a,a,"Approved variance for ""Deficient in rear yard"".",,
4007,,Dash's Market - Construction of a New Grocery Store,Deficient in ground floor transparency front facade,496-325.F.A,N-3C,1764 Hertel Avenue,conditions,a,n,a,a,a,"Approved with Conditions variance for ""Deficient in ground floor transparency front facade"". CONDITIONS: *Sixty percent minimum window fenestration/transparency is achieved on the front facade *Applicant is not allowed to place in windows (that provide direct viewing access into the store) any advertisements or posters on those windows.",,
4007,,Dash's Market - Construction of a New Grocery Store,Deficient in ground floor transparency corner side facade,496-325.F.B,N-3C,1764 Hertel Avenue,conditions,a,a,a,a,a,"Approved with Conditions variance for ""Deficient in ground floor transparency corner side facade"". CONDITION: *The architect provide some type of relief during the non summer months when the cafe cannot be operational that is acceptable by the Planning Board Staff during the site plan review.",,
4007,,Dash's Market - Construction of a New Grocery Store,Exceed ground floor sill height front & corner facades,496-325.F.F,N-3C,1764 Hertel Avenue,approve,a,a,a,a,a,"Approved variance for ""Exceeds ground floor sill height front and corner facades"".",,
4007,,Dash's Market - Construction of a New Grocery Store,Exceed fence height,496-7.2.2.B,N-3C,1764 Hertel Avenue,conditions,a,a,a,a,a,"Approved with Conditions variance for ""Exceeds fence height"". CONDITION: *Only the fence parallel to Hertel Avenue between Hertel and Windgate along the back lot line.",,
4007,,Dash's Market - Construction of a New Grocery Store,Deficient interior parking lot landscape,496-7.1.5.C,N-3C,1764 Hertel Avenue,conditions,a,a,a,a,a,"Approved variance for ""Deficient interior parking lot landscape"". CONDITION: *Ten percent including the buffer area that is within the public right of way.",,
4007,,Dash's Market - Construction of a New Grocery Store,Parking not permitted interior side yard,496-8.3.3.A,N-3C,1764 Hertel Avenue,approve,a,a,a,a,a,"Approved variance for ""Parking not permitted interior side yard"".",,
4441,,Construct an Accessory Parking Lot,Use Not Permitted In Zone,,N-3R,135 Herman Street,,,,,,,,1208,
3894,,Establish Two Storage Containers in Rear Yard,Storage Containers Not Permitted As Permanent Uses,,D-S,2695 Bailey Avenue,,,,,,,,,
4172,,Establish Live Entertainment,Use Not Allowed In Zone,496-6.1.1,N-4-30,271 Howard Street,,,,,,,,1208,
4448,,Construct an Attached Garage ,Exceeding Permitted Driveway Width,,N-2R,119 Glenwood Avenue,,,,,,,,,
4448,,Construct an Attached Garage ,Exceeding Permitted Driveway Width,,N-2R,119 Glenwood Avenue,,,,,,,,,
4448,,Construct an Attached Garage ,Garage Insufficient In Setback From Front Facade,,N-2R,119 Glenwood Avenue,,,,,,,,,
4448,,Construct an Attached Garage ,Garage Insufficient In Setback From Front Facade,,N-2R,119 Glenwood Avenue,,,,,,,,,
4448,,Enclose a Front Porch,Porch Must Be Open On All Sides Except The Exterior Wall Of The House,,N-2R,119 Glenwood Avenue,,,,,,,,,
4448,,Enclose a Front Porch,Porch Must Be Open On All Sides Except The Exterior Wall Of The House,,N-2R,119 Glenwood Avenue,,,,,,,,,
4451,,Install Fence,Exceeding Permitted Height,,N-3R,79 Rother Avenue,,,,,,,,,
4454,,Construct Two Single-Family Dwellings,Driveway In Excess Of Permitted Width,,N-2R,192 15Th Street,,,,,,,,,
4454,,Construct Two Single-Family Dwellings,Insufficient In Build-To Percentage,,N-2R,192 15Th Street,,,,,,,,,
4454,,Construct Two Single-Family Dwellings,Insufficient Side Yard,,N-2R,192 15Th Street,,,,,,,,,
4454,,Construct Two Single-Family Dwellings,Insufficient Transparency Along Ground Floor Facade,,N-2R,192 15Th Street,,,,,,,,,
4454,,Construct Two Single-Family Dwellings,Insufficient Transparency Along Second Floor Facade,,N-2R,192 15Th Street,,,,,,,,,
4454,,Construct Two Single-Family Dwellings,Parking Not Permitted In Front Yard,,N-2R,192 15Th Street,,,,,,,,,
4863,,Erect a Clock Tower in Front of Commercial Establishment,In Excess Of Permitted Height For An Accessory Structure,,N-3E,1582 Broadway,,,,,,,,,
4864,,Refurbish Sign to Include an Electronic Messaging Center,Electronic Messaging Center Not Permitted In Zone,,N-3E,1462 Main Street,,,,,,,,,
4865,,Construct Roof Deck on Existing Garage,Roof Deck Deficient In Setback Requirement,,N-2R,65 Louisiana Street,,,,,,,,,
4866,,Establish Parking Pad,Parking Not Permitted In Front Yard,,N-2R,314 Herkimer Street,,,,,,,,,
4868,,Install Wall Sign,In Excess Of Permitted Area,,N-3C,1999 Clinton Street,,,,,,,,,
4869,,Establish Parking Pad,Parking Not Permitted In Front Yard,,N-3E,330 Crescent Avenue,,,,,,,,,
4870,,Install a Monument Sign that Includes an Electronic Messaging Center,Electronic Messaging Center Not Permitted In Zone And In Excess Of Permitted Height For Monument Sign,,N-2E,70 Chalmers Avenue,,,,,,,,,
4870,,Install a Monument Sign that Includes an Electronic Messaging Center,Electronic Messaging Center Not Permitted In Zone And In Excess Of Permitted Height For Monument Sign,,N-2E,70 Chalmers Avenue,,,,,,,,,
4870,,Install a Monument Sign that Includes an Electronic Messaging Center,Electronic Messaging Center Not Permitted In Zone And In Excess Of Permitted Height For Monument Sign,,N-2E,70 Chalmers Avenue,,,,,,,,,
4871,,Convert a Two-Unit Home to a Three-Unit Home,In Excess Of Permitted Residential Density,,N-3R,122 Gibson Street,,,,,,,,,
4872,,Establish Parking Pad,Parking Not Permitted In Front Yard,,N-2R,308 Auburn Avenue,,,,,,,,,
4874,,Establish Fifth Dwelling Unit in Existing Building that Includes Four Units,In Excess Of Permitted Density,,N-2R,346 Parkdale Avenue,,,,,,,,,
4875,,Establish Parking Pad,Parking Not Permitted In Front Yard,,N-3R,12 Commonwealth Avenue,,,,,,,,,
4876,,Establish Yoga/Circus Arts Studio and Live Entertainment Uses,Uses Not Permitted In Zone,,unknown,64 Fillmore Avenue,,,,,,,,,
4877,,Install Sign,In Excess Of Permitted Sign Area,,N-2R,370 Massachusetts Avenue,,,,,,,,,
4878,,Install Parking,Not Permitted In An Interior Side Yard,,N-2R,227 14Th Street,,,,,,,,,
4880,,Install Fence,Encroaching Into The Pubic Right-Of-Way And In Excess Of Permitted Height,,N-3R,111 South Legion Drive,,,,,,,,,
4881,,Establish a Parking Pad,Parking Not Permitted In Front Yard,,N-3R,79 Cheltenham Drive,,,,,,,,,
4882,,Establish a Parking Pad,Parking Not Permitted In Front Yard,,N-3R,290 North Park Avenue,,,,,,,,,
4882,,Establish a Parking Pad,Parking Not Permitted In Front Yard,,N-3R,290 North Park Avenue,,,,,,,,,
4884,,Construct Addition to Building,In Excess Of Permitted Corner Side Yard Setback And In Excess Of Permitted Front Facade Ground Floor Blank Wall Width,,N-3E,1035 Abbott Road,,,,,,,,,
4885,,Subdivision of Parcel into Two Parcels,In Excess Of Permitted Lot Width,,N-2R,768 Delaware Avenue,,,,,,,,,
5129,,Install Parking Pad,Not Permitted In Front Yard,,N-2R,39 Lexington Avenue,,,,,,,,,
5130,,Establish a Retail Use,Use Not Permitted In Zone,,N-3R,859 Fillmore Avenue,,,,,,,,,
5130,,Establish a Retail Use,Use Not Permitted In Zone,,N-3R,859 Fillmore Avenue,,,,,,,,,
5130,,Establish a Retail Use,Use Not Permitted In Zone,,N-3R,859 Fillmore Avenue,,,,,,,,,
5131,,Install Highway Oriented Off-Premise Sign,Use Not Permitted In Zone,,N-3R,66 Krakow Street,,,,,,,,,
5135,,Establish Parking Pad,Parking Not Permitted In Front Yard,,N-3R,307 Sterling Avenue,,,,,,,,,
5137,,Establish Parking Pad,Parking Not Permitted In Front Yard,,N-2R,176 Lafayette Avenue,,,,,,,,,
5138,,Install a Pole Sign,In Excess Of Permitted Sign Height,,D-C,1176 South Park Avenue,,,,,,,,,
5141,,Install Pole Sign,Sign Type Not Permitted And In Excess Of Permitted Sign Area,,N-3E,449 East Ferry Street,,,,,,,,,
5142,,Construct a 4-Story Residential Building and Renovate an Existing Building to be Used as a Residential Care Facility,Parking Not Permitted In Interior Side Yards,,N-3R,419 Monroe Street,,,,,,,,,
